CUCE,Entidad,Tipo de Contratación,Modalidad,Objeto de Contratación,Estado,Subasta,Fecha Presentación,Fecha Publicación,Archivos,Formularios,Persona contacto,Fecha Adjudicación / Desierta,Departamento,Normativa
21-0907-00-1190772-0-E,Gobierno Autónomo Departamental De Santa Cruz,Bienes,EM,Compra De Semillas Para El Gobierno Autonomo Municipal De Cabezas,Contratado,False,,2022-01-02,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Vladimir Mauricio Prada Verduguez (Telf: 3636300/3-3332760 /3636256),,Santa Cruz,NB-SABS (D.S.0181)
21-0907-00-1190773-0-E,Gobierno Autónomo Departamental De Santa Cruz,Servicios Generales,EM,Fletes De Transporte Para Llevar Alimentos Y Semillas Para El Gobierno Autonomo Municipal De Cabezas Y Para El Gobierno Autonomo  Indigena Originario Campesino Charagua Iyambae,Contratado,False,,2022-01-02,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Vladimir Mauricio Prada Verduguez (Telf: 3636300/3-3332760 /3636256),,Santa Cruz,NB-SABS (D.S.0181)
21-0081-58-1190786-0-E,Programa De Mejora De La Gestion Municipal - Ii,Consultoria,CM,"Consultoria Individual De Linea  Administrativo Ii  En Archivos, Activos Fijos Y Servicios Generales",Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Doc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio']","['FORM 400', 'FORM 600']",Ana Patricia Castrillo Gonzales (Telf: 2124638),,La Paz,NB-SABS (D.S.0181)
21-0081-58-1190790-0-E,Programa De Mejora De La Gestion Municipal - Ii,Consultoria,CM,Consultoria Individual De Linea Tecnico Contable En Conciliaciones,Contratado,False,,2022-01-03,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Ana Patricia Castrillo Gonzales (Telf: 2124638),,La Paz,NB-SABS (D.S.0181)
21-0132-00-1187759-0-E,Servicio De Desarrollo De Las Empresas Públicas Productivas,Servicios Generales,CD,Servicio De Mantenimiento Predictivo De Analisis De Aceite Dielectrico De Transformadores De Potencia De Planta Papelbol Villa Tunari Sedem/Papelbol/Cd/2021-074,Contratado,False,,2022-01-03,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Janeth Meme Cabana Orellana (Telf: 2147001 - 2145707),,La Paz,Otra Normativa especifica nacional
21-0170-00-1138371-0-E,Escuela Militar De Ingenieria ,Consultoria,CM,Contratacion De Un Docente A Dedicacion Exclusiva Para La Gestion I/2021 Para La Carrera De Ingenieria Civil De La Emi Uascz.,Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Leidy Osinaga Justiniano (Telf: 2431641),,La Paz,NB-SABS (D.S.0181)
21-0221-00-1190780-0-E,Servicio Nacional De Registro Y Control De La Comercializacion De Minerales Y Metales - Senarecom,Servicios Generales,CD,"Servicio De Telefonía Fija Y Telefonía Por Fibra Óptica Oficina Nacional, Departamentales Y Regionales Del Senarecom (Telefonía Fija: Oficina Nacional, Dep. Oruro, Dep. La Paz, Dep. Potosí, Dep. Santa Cruz, Reg. Uyuni, Reg. Tupiza), (Telefonía Por Fibra Óptica: Dep. Cochabamba, Reg. Beni Y Reg. Sucre), Gestión 2022 (Servicio Recurrente)",Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio']",['FORM 400'],Freddy Yujra Pinto (Telf: 2000704),,La Paz,NB-SABS (D.S.0181)
21-0221-00-1190792-0-E,Servicio Nacional De Registro Y Control De La Comercializacion De Minerales Y Metales - Senarecom,Servicios Generales,CD,Servicio De Arrendamiento De Oficinas Para El Senarecom Departamental Santa Cruz 2022 (Servicio Recurrente),Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio']",['FORM 400'],Freddy Yujra Pinto (Telf: 2000704),,La Paz,NB-SABS (D.S.0181)
21-0309-00-1190811-0-E,Autoridad De Fiscalizacion Del Juego - Aj,Servicios Generales,CD,Servicio De Internet Online Primario Para La Aj - Gestion 2022.,Contratado,False,,2022-01-03,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)']",['FORM 400'],Aldin Franz Aranda Blanco (Telf: 2125057 - 2125081),,La Paz,NB-SABS (D.S.0181)
21-0309-00-1190848-0-E,Autoridad De Fiscalizacion Del Juego - Aj,Servicios Generales,CD,Arrendamiento De Oficina Para La Uptilcc Gestion 2022,Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio']",['FORM 400'],Aldin Franz Aranda Blanco (Telf: 2125057 - 2125081),,La Paz,NB-SABS (D.S.0181)
21-0417-07-1190829-0-E,Caja Nacional De Salud (Regional Beni),Bienes,CD,Lote De Medicamentos Para La Uti - Hospital Movil Covid-19 Distrital Riberalta,Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Informe', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Scarlette Coelho Cambero (Telf: 4621254),,Beni,NB-SABS (D.S.0181)
21-0417-08-1190789-0-E,Caja Nacional De Salud (Regional Potosi),Bienes,CD,Adquisicion De Medicamentos De (14 Items),Contratado,False,,2022-01-03,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Raul Rengipo Montaño (Telf: 6223840),,Potosi,D.S. 4174 (COVID-19)
21-0417-08-1190858-0-E,Caja Nacional De Salud (Regional Potosi),Obras,CD,Implementacion Sala De Emergencia Covid-19  Hospital Obrero Nº 5,Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Raul Rengipo Montaño (Telf: 6223840),,Potosi,D.S. 4174 (COVID-19)
21-0418-07-1190799-0-E,Caja Petrolera De Salud Administracion Departamental Santa Cruz,Bienes,CD,Adquisicion De 298.567 Unidades De Guantes Descartables 100% Latex Natural Para El Hospital Santa Cruz-Ejecucion Del Plan De Contingencia Departamental  (Segunda Ola Covid-19). Unid Jftra De Servicios De Salud Cps Scz (Ds 4432),Contratado,False,,2022-01-03,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Gabriel Gutierrez Duran (Telf: 3339111),,Santa Cruz,Otra Normativa especifica nacional
21-0513-00-1190850-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Servicios Generales,CD,Servicio De Alquiler De Ambientes Para Oficinas Del Distrito Redes De Gas Chuquisaca En La Localidad De Camargo Para La Gestion 2022,Contratado,False,,2022-01-03,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio']",['FORM 400'],Marco Antonio Zambrana Delgadillo (Telf: 2358802),,La Paz,NB-SABS (D.S.0181)
