CUCE,Entidad,Tipo de Contratación,Modalidad,Objeto de Contratación,Estado,Subasta,Fecha Presentación,Fecha Publicación,Archivos,Formularios,Persona contacto,Fecha Adjudicación / Desierta,Departamento,Normativa
21-1609-00-1181124-1-1,Gobierno Autonomo Municipal De San Lorenzo -  Tarija,Bienes,ANPE,"Adquisicion De Chapa De Desgaste, Mandibula Y Mallas Para Chancadora Movil (Kleemann)",Desierto,True,2021-12-08,2021-12-01,"['Documento Base de Contratacion', 'Convocatoria', 'Informe de la Comision/Responsable de Evaluacion', 'Res. de Desierta (nota)']","['FORM 100', 'FORM 170']",Holbein Olmedo Rivera Mollo (Telf: 6641018),,Tarija,NB-SABS (D.S.0181)
21-1303-00-1181881-1-1,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Viveres Secos Para El Hospital Sipe Sipe De Pacientes Internados,Contratado,False,2021-12-06,2021-12-01,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Lucy Noelia Guzman Herbas (Telf: 4381932),,Cochabamba,NB-SABS (D.S.0181)
21-1701-03-1182019-1-1,Empresa Municipal De Aseo Santa Cruz -  Emacruz,Servicios Generales,CM,Servicio Para Una (1) Renovacion De Soporte Para 5 Swithcs Programables,Contratado,False,2021-12-06,2021-12-01,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Sonia Margot Roca Melgar (Telf: 3470346 - 3-641144),,Santa Cruz,NB-SABS (D.S.0181)
21-0418-07-1181518-1-1,Caja Petrolera De Salud Administracion Departamental Santa Cruz,Bienes,ANPP,Adquisicion De Material Especifico Para Esterilizacion (Controles Quimicos Biologicos). Unid Quirurgica Hscz,Contratado,True,2021-12-13,2021-12-01,"['Documento Base de Contratacion', 'Convocatoria', 'Informe de la Comision/Responsable de Evaluacion', 'Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Contrato/Orden de Compra/Orden de Servicio', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 100', 'FORM 170', 'FORM 200', 'FORM 500']",Faviola Callaú Avendaño (Telf: 3339111),,Santa Cruz,NB-SABS (D.S.0181)
21-0903-00-1181942-1-1,Gobierno Autónomo Departamental De Cochabamba,Bienes,CM,Compra De Un Electrocardiografo Para Emergencia Del Instituto Gastroenterologico Boliviano Japones,Contratado,False,2021-12-06,2021-12-01,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Maria Amparo Villegas Herbas (Telf: 4519121-4255253),,Cochabamba,NB-SABS (D.S.0181)
21-2330-00-1181996-1-1,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,"Adquisicion De Transformador De Tipo Distribucion De 200 Kva De 24.9/0.38/0.00 Kv, 50 Hz, Bobina De Mt Y Bt De Cobre Setar Sistema Bermejo",Desierto,False,2021-12-06,2021-12-01,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Resolucion/Documento de Declaratoria Desierta']","['FORM 110', 'FORM 220']",Heriberta Sofia Flores Flores (Telf: 46642213 - INT. 102),,Tarija,NB-SABS (D.S.0181)
21-1605-00-1181891-1-1,Gobierno Autonomo Municipal De Carapari,Bienes,CM,"Actividad, Apoyo A La Mecanizacion Mun. De Carapari (Adquisicion De Repuestos Para La Cosechadora Mf N° 17, Tag N° 14, 21, 22, Oruga, Chatas Y Las Tres Camionetas).",Contratado,False,2021-12-06,2021-12-01,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Daniela Andrea Aguilera Portal (Telf: 046136032),,Tarija,NB-SABS (D.S.0181)
21-1277-00-1182023-1-1,Gobierno Autonomo Municipal De Teoponte,Servicios Generales,CM,Apertura De Caminos Central Alianza,Contratado,False,2021-12-06,2021-12-01,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Jorge Salinas Vergara (Telf: 2896260),,La Paz,NB-SABS (D.S.0181)
21-0016-00-1182004-1-1,Ministerio De Educación,Bienes,CM,G21 - Adquisición De Toners Para El Ministerio De Educación,Contratado,False,2021-12-06,2021-12-01,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Yecenia Velasquez Huarachi (Telf: 2442144   -   2441752),,La Paz,NB-SABS (D.S.0181)
21-1101-00-1176853-1-1,Gobierno Autonomo Municipal De Sucre,Bienes,CM,"Midazolam, Especificación 5mg/1 Ml, Forma Farmacéutica: Inyectable, Con Punto De Corte De Fácil Apertura (2021-04627)",Contratado,False,2021-12-06,2021-12-01,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Hiver Ariel Canizares Zarate (Telf: 6451008 - 6434770),,Chuquisaca,NB-SABS (D.S.0181)
