CUCE,Entidad,Tipo de Contratación,Modalidad,Objeto de Contratación,Estado,Subasta,Fecha Presentación,Fecha Publicación,Archivos,Formularios,Persona contacto,Fecha Adjudicación / Desierta,Departamento,Normativa
18-1317-00-1226003-0-E,Gobierno Autonomo Municipal De San Benito (Villa Jose Quintin Mendoza),Consultoria,EX,Contratacion De Sevicios Profesionales De Un Supervisor De Obra Para La Ejecucion Del Proyecto: Mejoramiento De La Produccion De Durazno En Cuatro Comunidades Del Municipio De San Benito,Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Contrato modificatorio/Orden de cambio/Otro que respalde modificación de fecha', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 250', 'FORM 500']",Jose Antonio Requiz Fuentes (Telf: 4579146),,Cochabamba,NB-SABS (D.S.0181)
20-0670-00-1227380-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros - Notario Del Tse En El Exterior - Argentina - C.A. Buenos Aires (41 Casos),Contratado,False,,2022-06-01,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva', 'Acta o informe de recepcion definitiva', 'Ver mas...']","['FORM 400', 'FORM 500']",Noemi Eliana Gutierrez Calamani (Telf: 2424221),,La Paz,Otra Normativa especifica nacional
20-0670-00-1227381-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros  Representante Notario Del Tse En El Exterior  Brasil Carapicuiba,Contratado,False,,2022-06-01,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Aneida Patricia Antequera Claure (Telf: 2424221),,La Paz,Normativa del Financiador
20-0670-00-1227389-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros  Representante Notario Del Tse En El Exterior  Argentina Salta,Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Aneida Patricia Antequera Claure (Telf: 2424221),,La Paz,Normativa del Financiador
20-0670-00-1227390-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros Comunicador Del Tse En El Exterior España / Barcelona,Contratado,False,,2022-06-01,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Maria Luisa Ticona Condori (Telf: 2424221),,La Paz,Otra Normativa especifica nacional
20-0670-00-1227401-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros  Representante Notario Del Tse En El Exterior Argentina Salto De Las Rosas,Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Aneida Patricia Antequera Claure (Telf: 2424221),,La Paz,Normativa del Financiador
20-0670-00-1227404-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros Comunicador Del Tse En El Exterior Brasil / Sao Paulo,Contratado,False,,2022-06-01,"['Contrato/Orden de Compra/Orden de Servicio', 'Res. de Adjudicacion (nota)', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Maria Luisa Ticona Condori (Telf: 2424221),,La Paz,Otra Normativa especifica nacional
20-0670-00-1227411-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros  Representante Notario Del Tse En El Exterior Argentina Centenario,Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Aneida Patricia Antequera Claure (Telf: 2424221),,La Paz,Normativa del Financiador
20-0670-00-1227413-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros Comunicador Del Tse En El Exterior Argentina  / Buenos Aires (Caso 2),Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Maria Luisa Ticona Condori (Telf: 2424221),,La Paz,Otra Normativa especifica nacional
20-0670-00-1227421-0-E,Organo Electoral Plurinacional,Servicios Generales,OF,Servicio De Terceros  Representante Notario Del Tse En El Exterior Argentina Ezpeleta,Contratado,False,,2022-06-01,"['Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 400', 'FORM 500']",Aneida Patricia Antequera Claure (Telf: 2424221),,La Paz,Normativa del Financiador
