CUCE,Entidad,Tipo de Contratación,Modalidad,Objeto de Contratación,Estado,Subasta,Fecha Presentación,Fecha Publicación,Archivos,Formularios,Persona contacto,Fecha Adjudicación / Desierta,Departamento,Normativa
21-1257-00-1146738-2-1,Gobierno Autonomo Municipal De Irupana (Villa De Lanza),Bienes,ANPE,Adquisición De Medicamentos E Insumos Para El Centro De Salud Integral Irupana Correspondiente Al 1er Trimestre (Segunda Convocatoria),Contratado,True,2021-08-09,2021-08-01,"['Convocatoria', 'Documento Base de Contratacion', 'Informe de la Comision/Responsable de Evaluacion', 'Res. de Adjudicacion (nota)', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 100', 'FORM 170', 'FORM 200', 'FORM 500']",Janeth Sanca Tinta (Telf: 010-22136128),,La Paz,NB-SABS (D.S.0181)
21-0908-00-1153463-1-1,Gobierno Autónomo Departamental Del Beni,Obras,CM,Perforacion De Pozo Semisurgente - Edificio Central De La Gobernacion Del Beni,Contratado,False,2021-08-04,2021-08-01,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Resolucion/Documento de Declaratoria Desierta', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Franklin Morant Vasquez (Telf: 46-24830),,Beni,NB-SABS (D.S.0181)
21-1201-00-1153638-1-1,Gobierno Autonomo Municipal De La Paz,Bienes,CM,"Adquisicion De Escaner, Laptop Y Tablet Para Implementacion De La Politica De Proteccion Social Comunitaria Para Las Mujeres En Situacion De Violencia Ac8 Gestion 2021",Contratado,False,2021-08-05,2021-08-02,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Ruben Carlos Gutierrez Coarite (Telf: 2650000),,La Paz,NB-SABS (D.S.0181)
21-1334-00-1153623-1-1,Gobierno Autonomo Municipal De Chimore,Bienes,ANPP,Adquisición De Llantas Para Volquetas Y Pala Cargadora De La Dirección De Obras Públicas,Contratado,False,2021-08-13,2021-08-02,"['Documento Base de Contratacion', 'Convocatoria', 'Resolución/Nota/Documento que autorice la Ampliacion', 'Acta de Apertura', 'Res. de Adjudicacion (nota)', 'Informe de la Comision/Responsable de Evaluacion', 'Carta de desistimiento/Carta notariada', 'Informe de la Comision/Responsable de Evaluacion']","['FORM 100', 'FORM 100-E', 'FORM 170', 'FORM 180', 'FORM 170', 'FORM 200', 'FORM 500']",Jose Luis Velarde Cardozo (Telf: 44136218),,Cochabamba,NB-SABS (D.S.0181)
21-0660-02-1141342-2-1,Direccion Administrativa Y Financiera - Organo Judicial,Consultoria,ANPE,"Supervision Para La Implementacion Nuevo Sistema Electrico, Red De Voz Y Datos Para El Edificio Principal Tdj Potosi",Anulado desde la convocatoria,False,2021-08-10,2021-08-02,"['Convocatoria', 'Documento Base de Contratacion', 'Terminos de Referencia', 'Acta Reunion de Aclaracion', 'Acta de Apertura', 'Res. de Desierta (nota)', 'Informe de la Comision/Responsable de Evaluacion', 'Resolucion/Documento de Anulacion']","['FORM 100', 'FORM 170', 'FORM 100-E']",Iveth Jhovana Padilla Torres (Telf: 6913222),,Chuquisaca,NB-SABS (D.S.0181)
21-0951-00-1153704-1-1,Banco Central De Bolivia - Bcb,Servicios Generales,CM,Servicio De Transporte De Material Monetario En Moneda Nacional De Sucre A La Paz,Contratado,False,2021-08-05,2021-08-02,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Claudia Rogelia Chura Cruz (Telf: 2409090),,La Paz,NB-SABS (D.S.0181)
21-0417-09-1153712-1-1,Caja Nacional De Salud - Regional La Paz,Bienes,ANPE,1 Equ. Autoclave Vertical,Anulado desde la convocatoria,True,2021-08-09,2021-08-02,"['Convocatoria', 'Documento Base de Contratacion', 'Acta de Apertura', 'Resolucion/Documento de Anulacion']","['FORM 100', 'FORM 100-E']",Manuel Alejandro Almendro Lazarte (Telf: 2-901777),,La Paz,NB-SABS (D.S.0181)
21-0417-09-1153664-1-1,Caja Nacional De Salud - Regional La Paz,Servicios Generales,CM,1 Serv. Instalacion De Mamparas En Planta Alta Del Hode Materno Infantil Para El Hode Oncologico,Contratado,False,2021-08-05,2021-08-02,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Ivette Zulma Lujan Monasterios (Telf: 2-901777),,La Paz,NB-SABS (D.S.0181)
21-1406-00-1153697-1-1,Gobierno Autonomo Municipal De Huanuni (Villa Huanuni),Bienes,CM,Adquisicion Alimento Complementario Nutricional - (Nutribebe),Contratado,False,2021-08-05,2021-08-02,"['Declaración Jurada del Proveedor', 'Oferta del Proveedor Identificado', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Wlfredo Simeon Tola Canaviri (Telf: 5520585),,Oruro,NB-SABS (D.S.0181)
21-0417-03-1153694-1-1,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,20 Kit De Repuestos Para Compresor De Ventiladores General Electric Del Hospital Obrero N3,Contratado,False,2021-08-05,2021-08-02,"['Oferta del Proveedor Identificado', 'Declaración Jurada del Proveedor', 'Contrato/Orden de Compra/Orden de Servicio', 'Acta o informe de recepcion definitiva']","['FORM 110', 'FORM 220', 'FORM 500']",Victor Hugo Sejas Alpiri (Telf: 3393354),,Santa Cruz,NB-SABS (D.S.0181)
